ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Giúp tôi đóng rèm cửa sổ trời vào 37%	Please shut down the sunroof shade 37%	Fermez le rideau du toit ouvrant à 37%	Machen die Blende für das Schiebedach 37% zu	
	rèm cửa sổ trời đóng tầm 25%	Sunroof shade close about 25%	Fermez le rideau du toit ouvrant  à 25%	Machen die Blende für das Schiebedach 25% zu	
	rèm cửa sổ trời đóng khoảng 18% giúp mình	Close the sunroof bline about 18% please 	Fermez le rideau du toit ouvrant environ 18%	Machen die Blende für das Schiebedach circa 18% zu	
168	Mở/hiển thị trip	Open/Show trip	Afficher Trip/ Allumer Trip/ Afficher le compteur journalier	Trip anzeigen / Trip einschalten/ Tageskilometerzähler einschalten	
	Mở trip	I want to see my trip 	Allumez le compteur journalier	Schalte den Tageskilometerzähler ein	
	Hiển thị trip	Open trip 	Affichez le compteur journalier	Zeig mir die Trip-Anzeige 	
	Truy cập màn hình trip	Show my trip 	Affichez Trip		
	Bật trip	Turn on trip 	Je veux voir le compteur journalier	Ich möchte den Tageskilometerzähler sehen	
	Mở màn hình trip	Trip appears now 	Affichez l'écran d'affichage Trip		
	Mở màn hình trip lên đi	I need to access to trip screen 	Pouvez-vous allumer le compteur journalier maintenant?	Ich brauche den Tageskilometerzähler	
	Cần truy cập màn hình trip	Can you please go to trip screen 	Je veux afficher le compteur journalier	Ich möchte den Tageskilometerzähler anzeigen	
	Mở thiết lập trip	Enable trip screen 	Pouvez-vous afficher Trip, s'il vous plait?		
	Hiển thị trip giúp tao		Affiche le compteur journalier	Zeig mir den Tageskilometerzähler an	
	Khởi động màn hình hình hiển thị trip		Affiche Trip		
169	Đóng trip	Close trip	Fermer Trip/ Fermer le compteur journalier	Trip ausschalten/ Tageskilometerzähler ausschalten	
	Đóng trip	I want to close my trip 	Fermez Trip	Schalte den aus Tageskilometerzähler aus	
	Dừng trip	Close trip 	Fermez l'écran d'affichage du compteur journalier	Ich brauche nicht mehr den Tageskilometerzähler	
	Ngưng trip	Stop my trip 	Fermez le compteur journalier	Stopp den Tageskilometerzähler	
	Thôi trip	Turn off trip 	Fermez Trip		
	Ngừng trip	Trip disappears now 	Je veux fermer le compteur journalier		
	Ẩn trip	I dont need trip screen anymore	Ferme le compteur journalier		
	Ẩn màn hình trip	Can you please exit trip screen 	Ferme l'écran d'affichage du compteur journalier		
	Đóng màn hình trip vào	Stop trip screen now 	Ferme le compteur journalier		
	Ẩn màn hình trip vào đi	Disable trip screen 	Pouvez-vous fermer Trip pour moi?		
	Ẩn màn hình trip đi bạn ơi		Vinfast, peux-tu fermer le compteur journalier?		
170	Mở odormeter | Hiển thị công tơ mét	Odor meter | show odor | show odor meter	Afficher l'odomètre du véhicule/ Allumer Odo/ Afficher le compteur kilométrique	Trip anzeigen / Trip einschalten/ Tageskilometerzähler einschalten	
	Mở màn hình odormeter	Odor meter 	Allumez l'odomètre du véhicule	Schalte den Kilometerzähler ein	
	Hiển thị công tơ mét	Show odor 	Affichez l'odomètre du véhicule	Zeig mir den Kilometerzähler 	
	Bật màn hình odo	Show odor meter 	Affichez Odo		
	Hiện màn hình odo	Access to odor meter screen 	Je veux voir l'odomètre du véhicule	Ich möchte den Kilometerzähler sehen	
	Truy cập màn hình công tơ mét	I want to see odor meter 	Affichez l'écran d'odomètre du véhicule		
	Bật màn hình công tơ mét	Turn on oder meter screen 	Allume Odo	Ich brauche den Kilometerzähler	
	Mở màn hình công tơ mét	Open odor meter screen 	Allumez Odo	Ich möchte den Kilometerzähler anzeigen	
	Mở màn hình công tơ mét lên đi	Let me see odor meter 	Affiche le compteur kilométrique		
	Tao cần xem màn hình trợ giúp hiển thị công tơ mét	Can you please show odor meter 	Affichez le compteur kilométrique	Zeig mir den Kilometerzähler an	
	Mở màn hình thiết lập odo	Go to odor meter 	Vinfast, peux-tu afficher le compteur kilométrique?		
171	Đóng odormeter	Close odor metter	Fermer l'odomètre du véhicule/ Fermer Odo/ Fermer le compteur kilométrique	Kilometerzähler ausschalten/ Kilometerzähler ausschalten	
	Đóng màn hình odormeter	Close odor meter 	Fermez l'odomètre du véhicule	Schalte den Kilometerzähler aus	
	Ẩn màn hình odormeter	Stop odor 	Ferme l'odomètre du véhicule	Ich brauche nicht mehr den Kilometerzähler 	
	Tắt màn hình odormeter	Exit odor meter 	Fermez Odo	Stopp den Kilometerzähler	
	Ngừng truy cập màn hình odormeter	Leave odor meter screen 	Ferme Odo		
	Hủy truy cập màn hình odometer 	I don't need odor meter anymore 	Je veux fermer l'odomètre du véhicule		
	Ẩn màn hình odo đi giúp tôi nhé	Turn off oder meter screen 	Fermez l'écran d'odomètre du véhicule		
	Đóng odo vào	Close odor meter screen 	Ferme l'écran d'odomètre du véhicule		
	Đóng màn hình odo vào xem	Leave odor meter 	Vinfast, peux-tu fermer l'odomètre?		
	Đóng màn hình odo xuống	Can you please stop odor meter 	Ferme l'écran d'odomètre du véhicule		
	Đóng odo xuống đi xem xong rồi	Please exit odor meter 	Ferme le compteur kilométrique		
172	Mở màn hình thiết lập màn hình	Open Display Settings	Ouvrir les paramètres d'affichage	Aktivier Einstellung des Displays	
	Mở màn hình thiết lập màn hình	Open display settings 	Ouvrez les paramètres d'affichage	Aktivier Einstellung des Displays	
	Mở màn hình cài đặt màn hình	Access to display settings 	Ouvre les paramètres d'affichage	Öffne Einstellung des Displays	
	Truy cập màn hình thiết lập màn hình	Go to display settings	Affichez les paramètres d'affichage	Starte Einstellung des Displays	
	Truy cập màn hình cài đặt màn hình	Show me display settings 	Affiche les paramètres d'affichage	Zeig mir die Einstellung des Displays	
	Bật màn hình thiết lập màn hình	Turn on display settings 	Activez les paramètres d'affichage	Schalte Einstellung des Displays ein	
	Bật màn hình cài đặt màn hình	Can you open display setting for me please 	Active les paramètres d'affichage	Ich möchte das Displays einzustellen	
	Xem màn hình thiết lập màn hình	I want to see display settings 	Allumez les paramètres d'affichage	Ich brauche Einstellung des Displays	
	Hiển thị màn hình thiết lập màn hình	Display settings 	Allume les paramètres d'affichage		
	Hiện màn hình thiết lập màn hình lên nào		Peux-tu afficher les paramètres d'affichage ?		
	Cài đặt mở màn hình thiết lập màn hình		Je veux voir les paramètres d'affichage		
173	Đóng màn hình thiết lập màn hình	Close Display Settings	Fermer les paramètres d'affichage	Deaktivier Einstellung des Displays	
	Đóng màn hình thiết lập màn hình	Close display settings 	Annulez les paramètres d'affichage	Deaktivier Einstellung des Displays	
	Ẩn màn hình thiết lập màn hình	Exit display settings 	Fermez les paramètres d'affichage	Schließ Einstellung des Displays	
	Hủy truy cập màn hình thiết lập màn hình	Leave display settings	Cachez les paramètres d'affichage	Stopp Einstellung des Displays	
	Ngưng màn hình thiết lập màn hình	Stop me display settings 	Je ne veux plus voir les paramètres d'affichage	Schalte Einstellung des Displays aus	
	Ngừng màn hình thiết lập màn hình	Turn ooff display settings 	Désactivez les paramètres d'affichage	Hör auf, das Displays einzustellen	
	Bỏ truy cập màn hình thiết lập màn hình đi	Can you close display setting for me please 	Pouvez-vous fermer les paramètres d'affichage ?	Unterbrich die Einstellung des Displays	
	Màn hình thiết lập màn hình ẩn đi	I don't need display settings anymore	Annule les paramètres d'affichage		
	Màn hình thiết lập màn hình đóng vào	Display settings off	Ferme les paramètres d'affichage		
	Đóng giúp tớ cái màn hình thiết lập màn hình cái		Cache les paramètres d'affichage		
	Đóng cho tớ cái màn hình cài đặt màn hình		Peux-tu fermer les paramètres d'affichage ?		
174	Mở màn hình cài đặt chế độ đèn	Open Lights Settings	Afficher les paramètres d'éclairage/ Ouvrir les paramètres d'éclairage	Öffne die Einstellung der Lichter	
	Mở màn hình cài đặt chế độ đèn	Open light settings 	Affichez les paramètres d'éclairage	Öffne die Einstellung der Lichter	
	Bật màn hình cài đặt chế độ đèn	turn on light settings 	Activez les paramètres d'éclairage	Stell die Lichter ein	
	Truy cập màn hình cài đặt chế độ đèn	I want to go to light settings 	Je veux afficher les paramètres d'éclairage	Zeig mir die Einstellung der Lichter	
	Khởi động màn hình cài đặt chế độ đèn	Access to light settings 	Ouvrez l'écran des paramètres d'éclairage	Ich möchte die Einstellung der Lichter sehen	
	Hiển thị màn hình cài đặt chế độ đèn	light settings 	Je veux ouvrir l'écran des paramètres d'éclairage	Schalte den Bilschirm für Einstellung der Lichter ein	
	Hiện màn hình cài đặt chế độ đèn	Show me light settings right now 	Allumez l'écran des paramètres d'éclairage	Ich möchte die Lichter einstellen	
	Hiển thị màn hình thiết lập chế độ đèn	Light settings screen 	Pouvez-vous afficher les paramètres d'éclairage?	Ich brauche die Einstellung der Lichter	
	Mở màn hình chế độ thiết lập chế độ đèn	Can you please open light settings 	Active les paramètres d'éclairage	Aktivier Einstellung der Lichter	
	Mở màn hình cài đặt chế độ đèn	Switch on lights settings	Allume l'écran des paramètres d'éclairage		
	Bạn có thể mở màn hình cài đặt chế độ đèn không		Peux-tu afficher les paramètres d'éclairage?		
175	Đóng màn hình cài đặt chế độ đèn	Close Lights Settings	Fermer les paramètres d'éclairage	Schließe die Einstellung der Lichter	
	Đóng màn hình cài đặt chế độ đèn	Close light settings 	Fermez les paramètres d'éclairage	Schließe die Einstellung der Lichter	
	Tắt màn hình cài đặt chế độ đèn	turn off light settings 	Désactivez les paramètres d'éclairage	Hör auf, Lichter einzustellen	
	Ẩn màn hình cài đặt chế độ đèn	I want to stop light settings 	Je veux arrêter les paramètres d'éclairage	Schalte den Bildschirm für Einstellung der Lichter aus	
	Bỏ truy cập màn hình cài đặt chế độ đèn	Exit light settings 	Quittez l'écran des paramètres d'éclairage	Ich brauche nicht mehr die Einstellung der Lichter	
	Ngưng truy cập màn hình cài đặt chế độ đèn	Stop lights settings 	Je veux quitter l'écran des paramètres d'éclairage	Deaktivier Einstellung der Lichter	
	Đóng cài đặt chế độ đèn vào	I don't need lights settings now 	Éteignez l'écran des paramètres d'éclairage	Unterbrich die Einstellung der Lichter	
	Đóng màn hình cài đặt chế độ đèn vào xem	Switch off lights settings screen 	Pouvez-vous fermer les paramètres d'éclairage?		
	Đóng màn hình cài đặt chế độ đèn xuống	Can you please Close light settings 	Ferme les paramètres d'éclairage		
	Đóng cài đặt chế độ đèn xuống đi xem xong rồi		Désactive les paramètres d'éclairage		
	Đóng cái màn hình cài đặt chế độ đèn đi giúp bạn phát		Vinfast, peux-tu arrêter les paramètres d'éclairage?		
176	Mở màn hình cài đặt chức năng QuickControl	Open Quick Controls [Settings]	Afficher l'écran de contrôle rapide/ Ouvrir les paramètres de contrôle rapide	Öffne Quick Control	
	Mở màn hình cài đặt chức năng Quick Control	Open Quick Controls	Allumez l'écran de contrôle rapide	Öffne Quick Control	
	Hiện thiết lập cài đặt chức năng quick control nào	Show quick controls 	Affichez l'écran de contrôle rapide		
	Hiện màn hình cài đặt chức năng quick control	Can you please turn on quick controls 	Activez le contrôle rapide	Zeig mir Quick Control	
	Hiển thị màn hình cài đặt chức năng quick control	Quick controls 	J'ai besoin de contrôle rapide	Ich möchte den Bildschirm für Spiegeleinstellung sehen	
	Hiện màn hình cài đặt chức năng quick control lên	Access to quick controls 	Affichez les paramètres de contrôle rapide	Schalte Quick Control ein	
	Màn hình cài đặt chức năng quick control mở lên	Go to quick controls right now 	Ouvrez les paramètres de contrôle rapide	Ich möchte Quick Control	
	Tôi muốn xem thiết lập chức năng quick control	Quick controls appear now	Activez l'écran de contrôle rapide	Ich brauche Quick Control	
	Xem thiết lập chức năng quick control hiện tại đi	Quick controls ON 	Affiche les paramètres de contrôle rapide	Aktivier Quick Control	
	Xem màn hình cài đặt quick control hiện tại xem nào	Turn on quick controls screen 	Ouvre les paramètres de contrôle rapide		
	Bật màn hình cài đặt chức năng Quick control		Active l'écran de contrôle rapide		
177	Đóng màn hình cài đặt chức năng Quick Control	Close Quick Controls [Settings]	Fermer l'écran de contrôle rapide/ Fermer les paramètres de contrôle rapide	Schließe Quick Control	
	Đóng màn hình cài đặt chức năng Quick Control	Close Quick Controls	Fermez l'écran de contrôle rapide	Schließe Quick Control	
	Ẩn màn hình cài đặt chức năng Quick Control	Stop quick controls 	Arrêtez le contrôle rapide		
	Ngưng màn hình cài đặt chức năng Quick Control	Can you please turn off quick controls 	Désactivez le contrôle rapide	Schalte Quick Control aus	
	Ngừng truy cập màn hình cài đặt chức năng Quick Control	I don't need quick controls anymore 	Je n'ai plus besoin de contrôle rapide	Ich brauche nicht mehr Quick Control	
	Đóng màn hình thiết lập Quick Control	Exit quick controls 	Quittez le contrôle rapide	Deaktivier Quick Control	
	Ẩn màn hình thiết lập chức năng quick control	Stop quick controls right now 	Arrêtez le contrôle rapide	Unterbrich Quick Control	
	Thôi ẩn ngay màn hình thiết lập chức năng quick control đi	Quick controls disappear now	Désactivez l'écran de contrôle rapide		
	Màn hình cài đặt chức năng quick control ẩn đi	Quick controls OFF	Ferme l'écran de contrôle rapide		
	Màn hình thiết lập chức năng quick control đóng đi bạn	Turn off quick controls screen 	Arrête le contrôle rapide		
	Ngừng truy cập màn hình thiết lập chức năng quick control		Désactive le contrôle rapide		
178	Mở màn hình cài đặt cửa	Open door setting	Afficher les paramètres des portières/ Ouvrir l'écran des paramètres des portières	Öffne die Einstellung der Türen	
	Mở màn hình cài đặt cửa	Open door setting 	Affichez les paramètres des portières	Öffne die Einstellung der Türen	
	Bật màn hình cài đặt cửa	Show door setting 	Ouvrez l'écran des paramètres des portières	Stell die Türen ein	
	Truy cập màn hình cài đặt cửa	Door setting 	Allumez l'écran des paramètres des portières	Zeig mir die Einstellung der Türen	
	Khởi động màn hình cài đặt cửa	I want to see door setting 	Activez l'écran des paramètres des portières	Ich möchte die Einstellung der Türen sehen	
	Hiển thị màn hình cài đặt cửa	Door setting appears now 	Je veux afficher l'écran des paramètres des portières	Schalte den Bilschirm für Einstellung der Türen ein	
	Hiện màn hình cài đặt cửa	Door setting ON	Vinfast, peux-tu afficher l'écran des paramètres des portières?	Ich möchte die Türen einstellen	
	Hiển thị màn hình thiết lập cửa	Please turn on open door setting 	Affiche les paramètres des portières	Ich brauche die Einstellung der Türen	
	Mở màn hình chế độ thiết lập cửa	Access to open door setting screen 	Ouvre l'écran des paramètres des portières	Aktivier Einstellung der Türen	
